ID,FID_Grilla,ROW,COL,LAT,LON,AREA,Dias,Seg,PM25(g/proyecto),PM25 (E(g/d)),PM25(g),PM25(t),PM10(g/proyecto),PM10 (E(g/d)),PM10(g),PM10(t)
13,534,23,32,4.558266,-74.116936,30000.0,110,4356000,522720.0,4752.0,204336.0,0.204336,1698840.0,15444.0,664092.0,0.664092
14,1916,23,31,4.558266,-74.125923,1659.0,342,13543200,89872.6752,262.7856,67273.1136,0.0672731136,292086.1944,854.0532,218637.6192,0.2186376192
15,536,23,36,4.558266,-74.080956,1190.0,62,2455200,11686.752,188.496,11686.752,0.011686752,37981.944,612.612,37981.944,0.037981944
16,1916,23,31,4.558266,-74.125923,6744.0,174,6890400,185875.4304,1068.2496,77982.2208,0.0779822208,604095.1488,3471.8112,253442.2176,0.2534422176
17,1905,24,26,4.567238,-74.170898,19902.0,261,10335600,822796.4448,3152.4768,592665.6384,0.5926656384,2674088.4456,10245.5496,1926163.3248,1.9261633248
18,1909,24,27,4.567238,-74.161903,1225.0,261,10335600,50644.44,194.04,50256.36,0.05025636,164594.43,630.63,163333.17,0.16333317
19,1915,24,31,4.567238,-74.125923,8338.0,329,13028400,434523.1968,1320.7392,293204.1024,0.2932041024,1412200.3896,4292.4024,952913.3328,0.9529133328
20,1917,24,35,4.567238,-74.089951,2718.0,360,14256000,154991.232,430.5312,33581.4336,0.0335814336,503721.504,1399.2264,109139.6592,0.1091396592
21,1914,24,32,4.567238,-74.116936,350.0,195,7722000,10810.8,55.44,10810.8,0.0108108,35135.1,180.18,35135.1,0.0351351
22,2013,25,31,4.576202,-74.125923,130.0,66,2613600,1359.072,20.592,1359.072,0.001359072,4416.984,66.924,4416.984,0.004416984
23,507,25,34,4.576202,-74.098946,2153.0,289,11444400,98559.1728,341.0352,87305.0112,0.0873050112,320317.3116,1108.3644,283741.2864,0.2837412864
24,507,25,34,4.576202,-74.098946,2153.0,289,11444400,98559.1728,341.0352,87305.0112,0.0873050112,320317.3116,1108.3644,283741.2864,0.2837412864
