FID,ROW,COL,LAT,LON,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias,Dias_2014
55.0,28.0,36.0,4.603096,-74.080956,3.0,41456.0,42580.0,29900.0,805.0,261.0
56.0,28.0,37.0,4.603096,-74.07196,2114.0,41562.0,41743.0,3400.0,130.0,74.0
57.0,28.0,34.0,4.603096,-74.098946,66.0,41492.0,42613.0,52.0,802.0,261.0
58.0,28.0,34.0,4.603096,-74.098946,66.0,41197.0,41927.0,8000.0,523.0,206.0
59.0,28.0,37.0,4.603096,-74.07196,2114.0,40855.0,42216.0,112846.99,974.0,261.0
60.0,28.0,37.0,4.603096,-74.07196,2114.0,41349.0,42063.0,114000.0,510.0,261.0
61.0,28.0,31.0,4.603096,-74.125923,2106.0,41494.0,41858.0,6074.0,261.0,157.0
62.0,28.0,38.0,4.603096,-74.062965,488.0,41520.0,41727.0,78717.0,149.0,63.0
63.0,28.0,32.0,4.603096,-74.116936,487.0,41570.0,41873.0,29939.0,218.0,168.0
64.0,28.0,37.0,4.603096,-74.07196,2114.0,41323.0,41838.0,19115.65,370.0,143.0
65.0,28.0,37.0,4.603096,-74.07196,2114.0,41562.0,42139.0,5000.0,414.0,261.0
66.0,29.0,37.0,4.612068,-74.07196,2196.0,41646.0,42436.0,12167.33,565.0,257.0
67.0,29.0,37.0,4.612068,-74.07196,2196.0,41478.0,41976.0,8243.19,357.0,241.0
68.0,29.0,33.0,4.612068,-74.107941,2202.0,41716.0,42081.0,10000.0,262.0,207.0
69.0,29.0,27.0,4.612068,-74.161903,2211.0,40719.0,41842.0,19.0,802.0,145.0
70.0,29.0,35.0,4.612068,-74.089951,2200.0,41289.0,41685.0,7198.92,284.0,33.0
71.0,29.0,27.0,4.612068,-74.161903,2211.0,41649.0,42129.0,3048.8,343.0,254.0
72.0,29.0,38.0,4.612068,-74.062965,2194.0,41492.0,42041.0,7.69,394.0,261.0
73.0,29.0,37.0,4.612068,-74.07196,2196.0,41569.0,41827.0,975.0,185.0,134.0
74.0,29.0,37.0,4.612068,-74.07196,2196.0,41000.0,42527.0,39980.71,1091.0,261.0
75.0,29.0,37.0,4.612068,-74.07196,2196.0,41000.0,42527.0,39980.71,1091.0,261.0
76.0,29.0,28.0,4.612068,-74.152908,2210.0,41593.0,41684.0,32269.55,66.0,33.0
77.0,30.0,25.0,4.621033,-74.179893,467.0,41603.0,42003.0,5672.7,287.0,260.0
78.0,30.0,24.0,4.621033,-74.188889,2215.0,40826.0,42153.0,40831.0,950.0,261.0
79.0,30.0,37.0,4.621033,-74.07196,2195.0,41491.0,41856.0,28251.64,262.0,155.0
80.0,30.0,29.0,4.621033,-74.143913,2206.0,41621.0,41912.0,3180.24,208.0,195.0
